XML Path,Field Name,Description,10037 Rebecca Data,Source,Status,Notes
===== OUTPUT ATTRIBUTES =====,,,,,,
//output/@apiUrl,API URL,GenieCloud API endpoint,https://genie-api.dynamicarray.co.uk/,System,COMPLETE,Standard GenieCloud API
//output/@siteUrl,Site URL,Asset base URL,https://cloud.thegenie.ai/,System,COMPLETE,Production CDN
//output/@year,Year,Current year,2025,System,COMPLETE,Auto-generated
//output/@reportDate,Report Date,Unix timestamp for report,1735171200,System,COMPLETE,12/25/2025 timestamp
//output/@mapboxKey,Mapbox Key,Mapbox API key,pk.eyJ1IjoiMXBhcmtwbGFjZSIsImEiOiJ0VnNHQ0o4In0.Ju1ET8Y81mGY1Eu0l5DfRQ,Master Credentials,COMPLETE,From credential tracker
//output/@googleKey,Google Key,Google API key,AIzaSyDLFcQk1FV7U4tf_aXU3NiLItNxy_b0AzU,Master Credentials,COMPLETE,From reference XML
//output/@areaIndex,Area Index,Which area to use,1,System,COMPLETE,Default
//output/@areaPeriod,Area Period,Months of data,12,System,COMPLETE,12-month lookback
//output/@userId,User ID,Agent's user ID,a8436051-333d-4725-b8ce-88bf5262d26a,TheGenie System,COMPLETE,Steve Hundley's Agent ID
//output/@theme,Theme,Color theme,compass-dark,User Selection,COMPLETE,Compass Dark (no logos)
//output/@themeHue,Theme Hue,Light or dark,dark,User Selection,COMPLETE,Dark theme
//output/@propertyType,Property Type,1=SFR 2=Condo etc,1,Property Data,COMPLETE,Single Family Residence
//output/@downloadUrl,Download URL,PDF brochure link,,NEEDS INPUT,BLANK,Do you have a brochure PDF to link?
===== AGENT DATA =====,,,,,,
//agent/firstName,First Name,Agent first name,Steve,TheGenie Profile,COMPLETE,
//agent/lastName,Last Name,Agent last name,Hundley,TheGenie Profile,COMPLETE,
//agent/photo,Photo URL,Agent headshot URL,,TheGenie Profile,NEEDS INPUT,What's Steve's headshot URL?
//agent/personalLogoLight,Personal Logo Light,Logo for light bg,,TheGenie Profile,NEEDS INPUT,Inspired.RE light logo URL?
//agent/personalLogoDark,Personal Logo Dark,Logo for dark bg,,TheGenie Profile,NEEDS INPUT,Inspired.RE dark logo URL?
//agent/companyLogoLight,Company Logo Light,Brokerage light logo,,TheGenie Profile,NEEDS INPUT,Compass or Inspired.RE light?
//agent/companyLogoDark,Company Logo Dark,Brokerage dark logo,,TheGenie Profile,NEEDS INPUT,Compass or Inspired.RE dark?
//agent/marketingName,Marketing Name,Display name,Steve Hundley,TheGenie Profile,COMPLETE,
//agent/marketingTitle,Title,Job title,,TheGenie Profile,NEEDS INPUT,What title? (Broker Associate etc)
//agent/marketingEmail,Email,Contact email,,TheGenie Profile,NEEDS INPUT,Steve's email address?
//agent/marketingAbout,About,Bio paragraph,,TheGenie Profile,NEEDS INPUT,Steve's bio/about text?
//agent/marketingLicense,License,License number,,TheGenie Profile,NEEDS INPUT,TX RE License #?
//agent/mobile,Mobile,Phone number,,TheGenie Profile,NEEDS INPUT,Steve's mobile phone?
//agent/website,Website,Website URL,,TheGenie Profile,NEEDS INPUT,inspiredhomes.com or similar?
//agent/email,Email,Email address,,TheGenie Profile,NEEDS INPUT,Same as marketingEmail
//agent/agentId,Agent ID,System ID,a8436051-333d-4725-b8ce-88bf5262d26a,TheGenie System,COMPLETE,
